gen	nevals	avg    	std    	min    	max    
0  	25    	56.0359	66.2116	27.5237	363.948
1  	19    	39.8565	20.4622	27.3644	136.243
2  	19    	35.9191	7.39365	26.1628	57.6701
3  	19    	32.3239	6.41776	26.1628	61.9769
4  	21    	34.534 	5.25207	29.014 	46.5173
5  	23    	31.6939	3.38965	27.0802	44.371 
6  	21    	31.7528	3.33252	24.2737	38.5026
7  	20    	31.7112	3.6471 	24.2737	41.9242
8  	24    	31.9883	4.88243	25.5888	51.9379
9  	20    	31.772 	3.69885	24.8638	41.0307
10 	19    	31.7852	2.84765	25.5888	37.7174
11 	18    	32.1856	3.36985	26.9915	44.5564
12 	19    	31.8141	3.24996	26.9915	39.6601
13 	22    	31.9257	4.72549	26.9915	51.6852
14 	18    	31.4028	3.03827	25.83  	36.9261
15 	19    	31.1891	3.09307	25.83  	36.5436
16 	19    	35.1845	20.8627	26.0391	133.782
17 	24    	32.3591	5.51871	26.1257	55.498 
18 	18    	31.3451	3.44448	26.1257	37.7262
19 	19    	31.3232	3.98844	26.1257	38.8044
20 	14    	29.9626	2.96205	24.6377	34.5266
21 	22    	33.37  	6.56073	25.0354	57.651 
22 	19    	31.2794	5.04542	25.0354	50.5945
23 	23    	32.0119	5.30408	25.0354	55.2893
24 	21    	31.8881	3.22938	27.7267	40.1816
25 	21    	32.0407	2.48377	27.5942	36.0815
